Time (s),Amplitude
0.835140,0
0.835140,0
0.836139,0
0.836139,0
0.836139,0
0.836139,0
0.836139,0
0.836139,0
0.836139,0
0.836139,0
0.837139,0
0.837139,0
0.838141,0
0.838141,0
0.839140,0
0.839140,0
0.839140,0
0.839140,0
0.839140,0
0.840141,0
0.840141,0
0.840141,0
0.840141,0
0.841140,0
0.841140,0
0.841140,0
0.842141,0
0.842141,0
0.842141,0
0.842141,0
0.842141,0
0.842141,0
0.842141,0
0.843140,0
0.844141,0
0.844141,0
0.844141,0
0.845141,0
0.845141,0
0.845141,0
0.845141,0
0.845141,0
0.845141,0
0.846141,0
0.847141,0
0.847141,0
0.847141,0
0.847141,0
0.847141,0
0.847141,0
0.847141,0
0.847141,0
0.848142,0
0.848142,0
0.848142,0
0.849140,0
0.850189,0
0.850275,0
0.850275,0
0.850275,0
0.850275,0
0.850275,0
0.850275,0
0.850275,0
0.851270,0
0.851270,0
0.852271,0
0.852271,0
0.852271,0
0.852271,0
0.853271,0
0.853271,0
0.853271,0
0.853271,0
0.853271,0
0.853271,0
0.855271,0
0.855271,0
0.855271,0
0.855271,0
0.856271,0
0.856271,0
0.856271,0
0.856271,0
0.856271,0
0.856271,0
0.857270,0
0.858271,0
0.858271,0
0.858271,0
0.858271,0
0.858271,0
0.858271,0
0.858271,0
0.858271,0
0.859270,0
0.859270,0
0.859270,0
0.860271,0
0.861270,0
0.861270,0
0.861270,0
0.861270,0
0.861270,0
0.861270,0
0.861270,0
0.861270,0
0.862270,0
0.863271,0
0.863271,0
0.863271,0
0.863271,0
0.864271,0
0.864271,0
0.864271,0
0.864271,0
0.864271,0
0.864271,0
0.864271,0
0.866270,0
0.866270,0
0.866270,0
0.866270,0
0.866270,0
0.867271,0
0.867271,0
0.867271,0
0.867271,0
0.867271,0
0.867271,0
0.869272,0
0.869272,0
0.869272,0
0.869272,0
0.869272,0
0.869272,0
0.869272,0
0.870271,0
0.870271,0
0.870271,0
0.871272,0
0.872271,0
